# time(s) mx my mz trailx traily trailz
4.658 11.108 24.568 4.737 6.127 24.934 4.493
4.675 11.550 24.539 4.763 6.570 24.916 4.533
4.692 11.992 24.510 4.789 7.012 24.898 4.572
4.709 12.434 24.478 4.811 7.454 24.877 4.608
4.726 12.876 24.443 4.830 7.896 24.853 4.641
4.743 13.318 24.408 4.848 8.339 24.830 4.674
4.760 13.760 24.373 4.867 8.781 24.806 4.706
4.777 14.202 24.338 4.886 9.224 24.782 4.739
4.794 14.644 24.303 4.904 9.667 24.759 4.772
4.811 15.086 24.265 4.918 10.109 24.731 4.800
4.828 15.528 24.224 4.930 10.552 24.702 4.826
4.845 15.970 24.183 4.941 10.995 24.672 4.852
4.862 16.412 24.142 4.953 11.438 24.643 4.878
4.879 16.854 24.101 4.964 11.881 24.613 4.904
4.896 17.296 24.061 4.975 12.324 24.584 4.930
4.913 17.738 24.015 4.981 12.767 24.549 4.950
4.930 18.180 23.968 4.985 13.210 24.513 4.968
4.947 18.622 23.922 4.988 13.653 24.477 4.986
4.964 19.064 23.875 4.992 14.096 24.441 5.004
4.981 19.506 23.828 4.996 14.540 24.405 5.022
4.998 19.948 23.781 5.000 14.983 24.368 5.040
5.015 20.390 23.730 4.997 15.426 24.327 5.051
5.032 20.832 23.677 4.993 15.870 24.285 5.062
5.049 21.274 23.625 4.989 16.313 24.244 5.073
5.066 21.716 23.573 4.985 16.757 24.202 5.083
5.083 22.158 23.520 4.982 17.201 24.160 5.094
5.100 22.600 23.468 4.978 17.644 24.118 5.105
5.117 23.042 23.410 4.967 18.088 24.071 5.107
5.134 23.484 23.352 4.955 18.532 24.023 5.109
5.151 23.926 23.294 4.944 18.976 23.976 5.112
5.168 24.368 23.236 4.932 19.420 23.928 5.114
5.185 24.810 23.178 4.921 19.864 23.881 5.116
5.202 25.252 23.119 4.909 20.308 23.833 5.117
5.219 25.694 23.056 4.890 20.752 23.780 5.112
5.236 26.136 22.992 4.871 21.196 23.726 5.107
5.253 26.578 22.929 4.853 21.640 23.673 5.101
5.270 27.020 22.865 4.834 22.084 23.620 5.096
5.287 27.462 22.802 4.815 22.529 23.567 5.090
5.304 27.904 22.737 4.795 22.973 23.512 5.083
5.321 28.346 22.667 4.769 23.417 23.453 5.070
5.338 28.788 22.598 4.743 23.862 23.393 5.057
5.355 29.230 22.529 4.717 24.306 23.334 5.045
5.372 29.672 22.460 4.692 24.751 23.275 5.032
5.389 30.114 22.391 4.666 25.195 23.215 5.019
5.406 30.556 22.320 4.637 25.640 23.154 5.003
5.423 30.998 22.245 4.604 26.085 23.089 4.982
5.440 31.440 22.171 4.571 26.529 23.025 4.961
5.457 31.882 22.096 4.538 26.974 22.960 4.940
5.474 32.324 22.022 4.505 27.419 22.896 4.919
5.491 32.766 21.947 4.472 27.864 22.832 4.898
5.508 33.208 21.870 4.436 28.308 22.764 4.874
5.525 33.650 21.790 4.397 28.753 22.694 4.846
5.542 34.092 21.711 4.357 29.198 22.623 4.818
5.559 34.534 21.631 4.318 29.643 22.552 4.790
5.576 34.976 21.551 4.278 30.088 22.482 4.762
5.593 35.418 21.471 4.238 30.533 22.411 4.734
5.610 35.860 21.388 4.195 30.977 22.338 4.701
5.627 36.302 21.303 4.149 31.422 22.262 4.665
5.644 36.744 21.218 4.103 31.867 22.186 4.630
5.661 37.186 21.133 4.057 32.312 22.110 4.594
5.678 37.628 21.048 4.011 32.757 22.035 4.558
5.695 38.070 20.963 3.965 33.202 21.959 4.523
5.712 38.512 20.874 3.914 33.647 21.879 4.482
5.729 38.954 20.784 3.862 34.092 21.798 4.440
5.746 39.396 20.694 3.810 34.537 21.716 4.397
5.763 39.838 20.604 3.758 34.982 21.635 4.354
5.780 40.280 20.514 3.706 35.427 21.553 4.312
5.797 40.722 20.424 3.654 35.872 21.472 4.269
5.814 41.164 20.330 3.598 36.317 21.386 4.221
5.831 41.606 20.235 3.540 36.762 21.300 4.172
5.848 42.048 20.140 3.483 37.207 21.214 4.124
5.865 42.490 20.045 3.425 37.652 21.128 4.075
5.882 42.932 19.950 3.368 38.098 21.042 4.026
5.899 43.374 19.855 3.310 38.543 20.956 3.977
5.916 43.816 19.756 3.248 38.988 20.865 3.922
5.933 44.258 19.656 3.186 39.433 20.773 3.867
5.950 44.700 19.556 3.123 39.878 20.682 3.812
5.967 45.142 19.457 3.060 40.323 20.590 3.756
5.984 45.584 19.357 2.998 40.768 20.498 3.701
6.001 46.026 19.257 2.935 41.213 20.406 3.645
6.018 46.468 19.152 2.868 41.657 20.310 3.584
6.035 46.910 19.048 2.801 42.102 20.214 3.523
6.052 47.352 18.944 2.734 42.547 20.118 3.462
6.069 47.794 18.839 2.667 42.992 20.021 3.401
6.086 48.236 18.735 2.600 43.437 19.925 3.340
6.103 48.678 18.630 2.532 43.882 19.828 3.279
6.120 49.120 18.521 2.462 44.327 19.727 3.213
6.137 49.562 18.412 2.391 44.771 19.625 3.147
6.154 50.004 18.303 2.320 45.216 19.524 3.082
6.171 50.446 18.194 2.250 45.661 19.423 3.016
6.188 50.888 18.085 2.179 46.106 19.322 2.950
6.205 51.330 17.975 2.107 46.550 19.219 2.883
6.222 51.773 17.861 2.033 46.995 19.113 2.813
6.239 52.215 17.748 1.959 47.440 19.007 2.744
6.256 52.657 17.634 1.885 47.884 18.900 2.674
6.273 53.099 17.521 1.811 48.329 18.794 2.604
6.290 53.541 17.408 1.737 48.773 18.688 2.534
6.307 53.983 17.292 1.662 49.218 18.580 2.462
6.324 54.425 17.175 1.586 49.662 18.469 2.388
6.341 54.867 17.058 1.509 50.106 18.358 2.314
6.358 55.309 16.940 1.432 50.550 18.247 2.239
6.375 55.751 16.823 1.356 50.995 18.137 2.165
6.392 56.193 16.705 1.279 51.439 18.026 2.090
6.409 56.635 16.586 1.201 51.883 17.913 2.015
6.426 57.077 16.464 1.123 52.327 17.799 1.938
6.443 57.519 16.343 1.045 52.772 17.685 1.861
6.460 57.961 16.221 0.966 53.216 17.570 1.784
6.477 58.403 16.100 0.888 53.660 17.456 1.707
6.494 58.845 15.979 0.810 54.104 17.342 1.630
6.511 59.287 15.855 0.730 54.548 17.224 1.551
