# t mx my mz trailx traily trailz
0.462500 10.249908 24.627605 -2.442317 5.666897 24.971968 -0.473202
0.465000 10.899908 24.585960 -2.743975 6.278114 24.946953 -0.870823
0.467500 11.549908 24.542219 -3.032475 6.887762 24.919802 -1.265605
0.470000 12.199904 24.496382 -3.306519 7.496565 24.890501 -1.656288
0.472500 12.849907 24.448111 -3.562080 8.104965 24.858721 -2.039936
0.475000 13.499907 24.397753 -3.800477 8.714294 24.824802 -2.416442
0.477500 14.149907 24.345314 -4.020649 9.325488 24.788750 -2.784387
0.480000 14.799902 24.290800 -4.221611 9.939489 24.750572 -3.142257
0.482500 15.449903 24.233870 -4.398967 10.557132 24.709921 -3.485638
0.485000 16.099901 24.174873 -4.555173 11.179535 24.667149 -3.815130
0.487500 16.749905 24.113815 -4.689537 11.807522 24.622257 -4.128873
0.490000 17.399900 24.050701 -4.801451 12.441769 24.575247 -4.424914
0.492500 18.049904 23.985193 -4.886521 13.082807 24.525780 -4.697543
0.495000 18.699902 23.917641 -4.948133 13.730972 24.474195 -4.948103
0.497500 19.349895 23.848049 -4.986016 14.386359 24.420519 -5.174670
0.500000 19.999899 23.776424 -4.999999 15.048843 24.364746 -5.375401
0.502500 20.649904 23.702431 -4.986024 15.718019 24.306519 -5.544234
0.505000 21.299911 23.626421 -4.948148 16.393339 24.246216 -5.683950
0.507500 21.949905 23.548393 -4.886541 17.074062 24.183811 -5.793396
0.510000 22.599897 23.468357 -4.801480 17.759365 24.119331 -5.871751
0.512500 23.249907 23.385986 -4.689575 18.448133 24.052439 -5.913835
0.515000 23.899900 23.301624 -4.555216 19.139505 23.983480 -5.924053
0.517500 24.549906 23.215275 -4.399016 19.832565 23.912458 -5.902559
0.520000 25.199905 23.126944 -4.221668 20.526381 23.839373 -5.849738
0.522500 25.849897 23.036312 -4.020713 21.219627 23.763889 -5.761754
0.525000 26.499899 22.943716 -3.800545 21.911915 23.686371 -5.644145
0.527500 27.149900 22.849163 -3.562152 22.602528 23.606812 -5.497966
0.530000 27.799896 22.752663 -3.306598 23.290840 23.525219 -5.324412
0.532500 28.449903 22.653900 -3.032559 23.975731 23.441278 -5.121053
0.535000 29.099897 22.553204 -2.744063 24.657272 23.355295 -4.893422
0.537500 29.749891 22.450584 -2.442408 25.335140 23.267311 -4.643075
0.540000 30.399900 22.346050 -2.128947 26.009071 23.177332 -4.371619
0.542500 31.049894 22.239292 -1.803578 26.678032 23.085018 -4.077684
0.545000 31.699898 22.130644 -1.469668 27.342606 22.990730 -3.766245
0.547500 32.349899 22.020103 -1.128710 28.002680 22.894451 -3.438948
0.550000 32.999889 21.907684 -0.782227 28.658161 22.796196 -3.097382
0.552500 33.649887 21.793087 -0.431372 29.308300 22.695658 -2.741350
0.555000 34.299896 21.676632 -0.078563 29.953897 22.593168 -2.374703
0.557500 34.949890 21.558329 0.274623 30.594990 22.488735 -1.998961
0.560000 35.599895 21.438185 0.626606 31.231733 22.382359 -1.615647
0.562500 36.249893 21.315910 0.975088 31.863567 22.273741 -1.225528
0.565000 36.899895 21.191818 1.318783 32.491470 22.163198 -0.831151
0.567500 37.549896 21.065916 1.656150 33.115738 22.050747 -0.433914
0.570000 38.199890 20.938221 1.985680 33.736706 21.936398 -0.035117
0.572500 38.849888 20.808441 2.304117 34.354240 21.819853 0.363449
0.575000 39.499893 20.676889 2.611398 34.969486 21.701435 0.760529
0.577500 40.149887 20.543573 2.906157 35.583000 21.581141 1.154870
0.580000 40.799896 20.408504 3.187069 36.195477 21.458992 1.545179
0.582500 41.449890 20.271404 3.450170 36.807236 21.334679 1.928594
0.585000 42.099884 20.132578 3.696635 37.419563 21.208536 2.304903
0.587500 42.749886 19.992033 3.925379 38.033325 21.080568 2.672723
0.590000 43.399887 19.849783 4.135366 38.649399 20.950787 3.030545
0.592500 44.049881 19.705561 4.322232 39.268501 20.818905 3.374140
0.595000 44.699890 19.559656 4.488316 39.891769 20.685234 3.704072
0.597500 45.349884 19.412085 4.632874 40.519947 20.549772 4.018575
0.600000 45.999874 19.262857 4.755261 41.153732 20.412546 4.315799
0.602500 46.649887 19.111712 4.851060 41.793686 20.273281 4.590200
0.605000 47.299881 18.958939 4.923567 42.440166 20.132267 4.843152
0.607500 47.949886 18.804550 4.972464 43.093369 19.989532 5.072792
0.610000 48.599880 18.648558 4.997529 43.753227 19.845074 5.277341
0.612500 49.249878 18.490707 4.994652 44.419468 19.698612 5.450849
0.615000 49.899879 18.331282 4.967825 45.091660 19.550467 5.595993
0.617500 50.549877 18.170292 4.917177 45.769180 19.400640 5.711631
0.620000 51.199871 18.007753 4.842931 46.451294 19.249144 5.796855
0.622500 51.849880 17.843424 4.741605 47.137020 19.095734 5.846447
0.625000 52.499878 17.677574 4.617578 47.825558 18.940674 5.864703
0.627500 53.149872 17.510216 4.471405 48.516033 18.783991 5.851637
0.630000 53.799877 17.341364 4.303743 49.207588 18.625683 5.807545
0.632500 54.449871 17.170786 4.112019 49.898979 18.465527 5.728502
0.635000 55.099876 16.998745 3.900636 50.589767 18.303778 5.619881
0.637500 55.749874 16.825253 3.670546 51.279247 18.140457 5.482655
0.640000 56.399872 16.650333 3.422785 51.966827 17.975599 5.317982
0.642500 57.049866 16.473747 3.155884 52.651363 17.808916 5.123245
0.645000 57.699875 16.295761 2.873933 53.332966 17.640724 4.904000
0.647500 58.349869 16.116385 2.578206 54.011211 17.471004 4.661726
0.649999 58.999874 15.935633 2.270012 54.685829 17.299799 4.397933
0.652499 59.649872 15.753296 1.949134 55.355862 17.126863 4.111263
0.654999 60.299866 15.569619 1.619008 56.021782 16.952463 3.806640
0.657499 60.949867 15.384615 1.281118 56.683487 16.776623 3.485728
0.659999 61.599869 15.198294 0.936981 57.340874 16.599331 3.150134
0.662499 62.249863 15.010464 0.587596 57.993160 16.420374 2.799529
0.664999 62.899872 14.821352 0.235510 58.641132 16.240030 2.437892
0.667499 63.549862 14.630977 -0.117706 59.284782 16.058279 2.066761
0.669999 64.199860 14.439353 -0.470466 59.924255 15.875169 1.687690
0.672499 64.849869 14.246299 -0.820604 60.559006 15.690497 1.301375
0.674999 65.499863 14.052025 -1.166687 61.189919 15.504461 0.910519
0.677499 66.149872 13.856553 -1.507182 61.817257 15.317100 0.516491
0.679999 66.799866 13.659898 -1.840553 62.441322 15.128428 0.120702
0.682499 67.449860 13.461884 -2.163632 63.061924 14.938250 -0.275151
0.684999 68.099854 13.262725 -2.476239 63.680138 14.746806 -0.669687
0.687499 68.749863 13.062436 -2.776964 64.296501 14.554115 -1.061597
0.689999 69.399857 12.861032 -3.064476 64.911552 14.360168 -1.449636
0.692499 70.049866 12.658345 -3.334845 65.525620 14.164804 -1.830929
0.694999 70.699860 12.454581 -3.589141 66.139832 13.968217 -2.205283
0.697499 71.349861 12.249755 -3.826226 66.755013 13.770452 -2.571301
0.699999 71.999863 12.043884 -4.045040 67.371956 13.571524 -2.927559
0.702499 72.649857 11.836815 -4.241231 67.991302 13.371228 -3.269934
0.704999 73.299858 11.628740 -4.417025 68.614143 13.169821 -3.599027
0.707499 73.949860 11.419670 -4.571639 69.241219 12.967284 -3.913173
0.709999 74.599846 11.209625 -4.704373 69.873192 12.763624 -4.210619
0.712499 75.249863 10.998466 -4.810810 70.510651 12.558726 -4.486039
0.714999 75.899857 10.786369 -4.894141 71.154022 12.352755 -4.740801
0.717499 76.549850 10.573353 -4.954003 71.803558 12.145732 -4.973143
0.719999 77.199852 10.359439 -4.990126 72.459335 11.937700 -5.181345
0.722499 77.849854 10.144489 -4.998348 73.121162 11.728476 -5.359559
0.724999 78.499855 9.928675 -4.982601 73.788734 11.518250 -5.510396
0.727499 79.149857 9.712014 -4.942958 74.461555 11.307051 -5.632662
0.729999 79.799850 9.494525 -4.879599 75.139008 11.094894 -5.725414
0.732499 80.449844 9.276091 -4.788958 75.820229 10.881642 -5.783371
0.734999 81.099854 9.056866 -4.675380 76.504532 10.667484 -5.810674
0.737499 81.749847 8.836874 -4.539384 77.191055 10.452427 -5.807218
0.739999 82.399849 8.616123 -4.381569 77.879013 10.236478 -5.773152
0.742499 83.049850 8.394515 -4.199263 78.567253 10.019524 -5.704479
0.744999 83.699844 8.172192 -3.996876 79.255280 9.801710 -5.606376
0.747499 84.349846 7.949172 -3.775322 79.942436 9.583090 -5.479740
0.749999 84.999847 7.725473 -3.535595 80.628098 9.363663 -5.325595
0.752499 85.649841 7.501008 -3.276093 81.311150 9.143312 -5.141192
0.754999 86.299850 7.275906 -3.000968 81.991646 8.922213 -4.932039
0.757499 86.949844 7.050180 -2.711452 82.669136 8.700338 -4.699538
0.759999 87.599838 6.823851 -2.408845 83.343315 8.477733 -4.445179
0.762499 88.249847 6.596843 -2.092759 84.013268 8.254316 -4.167407
0.764999 88.899841 6.369274 -1.766750 84.679367 8.030199 -3.871258
0.767499 89.549850 6.141163 -1.432261 85.341499 7.805418 -3.558297
0.769999 90.199844 5.912532 -1.090801 85.999519 7.579993 -3.230153
0.772499 90.849838 5.683306 -0.743242 86.652657 7.353804 -2.886396
0.774999 91.499840 5.453596 -0.392225 87.301620 7.127011 -2.531070
0.777499 92.149841 5.223423 -0.039335 87.946419 6.899628 -2.165739
0.779999 92.799835 4.992803 0.313866 88.587097 6.671663 -1.791911
0.782499 93.449844 4.761686 0.665305 89.223152 6.443071 -1.410272
0.784999 94.099838 4.530168 1.013447 89.855370 6.213937 -1.023558
0.787499 94.749832 4.298263 1.356721 90.483986 5.984283 -0.633227
0.789999 95.399841 4.065986 1.693608 91.109291 5.754141 -0.240641
0.792499 96.049828 3.833306 2.021017 91.731003 5.523423 0.152518
0.794999 96.699829 3.600300 2.338634 92.350174 5.292260 0.544826
0.797499 97.349838 3.366987 2.645036 92.967262 5.060680 0.934946
0.799999 97.999832 3.133385 2.938848 93.582748 4.828661 1.321633
0.802499 98.649826 2.899478 3.216236 94.196884 4.596199 1.702164
0.804999 99.299835 2.665319 3.478106 94.810806 4.363358 2.076212
0.807499 99.949821 2.430933 3.723301 95.425201 4.130139 2.442474
0.809999 100.599831 2.196337 3.950715 96.040901 3.896608 2.799539
0.812499 101.249832 1.961525 4.156045 96.658455 3.662706 3.143492
0.814999 101.899834 1.726545 4.341375 97.278954 3.428500 3.474879
0.817499 102.549835 1.491423 4.505890 97.903160 3.194043 3.792126
0.819999 103.199829 1.256169 4.648845 98.531746 2.959297 4.093557
0.822499 103.849823 1.020789 4.765810 99.165321 2.724287 4.373998
0.824999 104.499832 0.785323 4.859884 99.804451 2.489066 4.634796
0.827499 105.149818 0.549790 4.930652 100.449425 2.253638 4.874207
0.829999 105.799835 0.314210 4.977798 101.100449 2.018056 5.090542
0.832499 106.449829 0.078599 4.997113 101.757431 1.782280 5.277984
0.834999 107.099823 -0.157014 4.992457 102.420181 1.546372 5.439010
0.837499 107.749825 -0.392619 4.963862 103.088318 1.310351 5.572371
0.839999 108.399818 -0.628190 4.911451 103.761314 1.074222 5.676997
0.842499 109.049820 -0.863700 4.831581 104.438400 0.838007 5.747536
0.844999 109.699829 -1.099135 4.728567 105.118919 0.601754 5.787930
0.847499 110.349823 -1.334476 4.602878 105.802071 0.365448 5.797943
0.849999 110.999817 -1.569699 4.455075 106.487076 0.129149 5.777598
0.852499 111.649826 -1.804771 4.282361 107.172829 -0.107147 5.722690
0.854999 112.299820 -2.039688 4.089170 107.858780 -0.343431 5.638333
0.857499 112.949829 -2.274431 3.876368 108.544273 -0.579665 5.525265
0.859999 113.599823 -2.508981 3.644909 109.228622 -0.815834 5.384410
0.862499 114.249817 -2.743282 3.393072 109.910736 -1.051914 5.212873
0.864999 114.899811 -2.977345 3.125041 110.590576 -1.287876 5.016122
0.867499 115.549812 -3.211154 2.842025 111.267700 -1.523701 4.795496
0.869999 116.199806 -3.444693 2.545291 111.941734 -1.759404 4.552433
0.872499 116.849815 -3.677890 2.234327 112.611740 -1.994907 4.285249
0.874999 117.499817 -3.910771 1.912744 113.278053 -2.230216 3.998991
0.877499 118.149811 -4.143320 1.581994 113.940468 -2.465337 3.695247
0.879999 118.799812 -4.375514 1.243544 114.598885 -2.700210 3.375582
0.882499 119.449814 -4.607271 0.898149 115.252487 -2.934801 3.039484
0.884999 120.099808 -4.838637 0.548554 115.901886 -3.169144 2.691039
0.887499 120.749817 -5.069591 0.196328 116.547127 -3.403193 2.331858
0.889999 121.399803 -5.300114 -0.156947 117.188164 -3.636958 1.963435
0.892499 122.049805 -5.530109 -0.509355 117.824478 -3.870323 1.586295
0.894999 122.699814 -5.759633 -0.859197 118.456871 -4.103342 1.203361
0.897499 123.349808 -5.988660 -1.204927 119.085480 -4.335998 0.816021
0.899999 123.999817 -6.217181 -1.544983 119.710587 -4.568273 0.425694
0.902499 124.649811 -6.445085 -1.876410 120.331841 -4.800088 0.033851
